Scenario,Parser,LogsSent,LogsReceived,AppLossPercent,KernelBufDrops,KernelUdpErrors,Precision,Recall,F1_Score,DurationSeconds,MaxCPU,MaxRAM
Baseline_Local_MIOPE,miope,42229,42229,0.0,0,0,38.46689895470383,55.2,45.33880903490759,4.445869445800781,30266.3,12.91172096094742
eBPF_Local_Override_MIOPE,miope,42229,92,99.78214023538327,0,0,100.0,50.0,66.66666666666667,0.10833597183227539,14797.3,12.919202489054523
Baseline_Local_Drain3,drain3,42229,42229,0.0,0,0,99.31506849315069,58.0,73.23232323232322,7.046915292739868,33875.3,12.957108898130516
